event_id,actual_label,detected,predicted_attack_type,correct_attack_type,detection_confidence,attack_confidence,trust_score,trust_decision
evt-000000003,unauthorized_access,1,unauthorized_access,1,0.5776916733529417,0.9381638459816429,0.7579,human_review
evt-000000005,ddos,1,ddos,1,0.9859731106534375,0.509681547657927,0.7478,human_review
evt-000000013,mqtt_flood,1,mqtt_flood,1,0.9763997708752796,0.44581749201473275,0.7111,human_review
evt-000000027,botnet_c2,1,botnet_c2,1,0.9880262451672399,0.46730351027747447,0.7277,human_review
evt-000000036,jamming,1,jamming,1,0.9639271524583246,0.9876886263451129,0.9758,auto_response
evt-000000037,credential_theft,1,credential_theft,1,0.5625970539250873,0.8798283138585727,0.7212,human_review
evt-000000042,ddos,1,ddos,1,0.9779134571348768,0.4251686834483875,0.7015,human_review
evt-000000043,replay_attack,1,replay_attack,1,0.5130634513726865,0.8355165960832874,0.6743,human_review
evt-000000049,credential_theft,0,,0,0.7044939278392761,0.0,0.0,missed_detection
evt-000000056,mqtt_flood,1,mqtt_flood,1,0.9878699828126901,0.5037506711912813,0.7458,human_review
evt-000000068,unauthorized_access,1,unauthorized_access,1,0.5112250947834404,0.8999650435414102,0.7056,human_review
evt-000000075,unauthorized_access,1,unauthorized_access,1,0.5648240850949455,0.9303101380685755,0.7476,human_review
evt-000000101,unauthorized_access,0,,0,0.9612043328165591,0.0,0.0,missed_detection
evt-000000107,jamming,1,jamming,1,0.7220366604182454,0.9585660351536311,0.8403,human_review
evt-000000114,mqtt_flood,1,mqtt_flood,1,0.911687328246375,0.4837519765396908,0.6977,human_review
evt-000000135,ddos,1,ddos,1,0.9885698471535926,0.5018426318718995,0.7452,human_review
evt-000000141,unauthorized_access,1,unauthorized_access,1,0.7551342358609415,0.9227749753979848,0.839,human_review
evt-000000150,malware,1,malware,1,0.8065294478798861,0.9961666666666668,0.9013,auto_response
evt-000000154,mqtt_flood,1,mqtt_flood,1,0.9823935649196414,0.4505866851336859,0.7165,human_review
evt-000000155,unauthorized_access,0,,0,0.9625832298018808,0.0,0.0,missed_detection
evt-000000167,credential_theft,1,credential_theft,1,0.6068737035858746,0.8512043668397677,0.729,human_review
evt-000000169,ddos,1,ddos,1,0.9871569602924698,0.4597586744899449,0.7235,human_review
evt-000000181,credential_theft,1,credential_theft,1,0.5368260509326318,0.8544037152880757,0.6956,human_review
evt-000000183,jamming,1,jamming,1,0.8710746262844531,0.9942892411295516,0.9327,auto_response
evt-000000194,mqtt_flood,1,mqtt_flood,1,0.965010428717398,0.4716142327561543,0.7183,human_review
evt-000000207,unauthorized_access,1,unauthorized_access,1,0.7773136925453221,0.9433254247784858,0.8603,auto_response
evt-000000219,unauthorized_access,1,unauthorized_access,1,0.8264237695514328,0.9260126368331782,0.8762,auto_response
evt-000000222,data_tampering,1,data_tampering,1,0.7455173384600019,0.9986842105263158,0.8721,auto_response
evt-000000224,malware,1,malware,1,0.857937337246489,0.9976445347786811,0.9278,auto_response
evt-000000229,unauthorized_access,1,unauthorized_access,1,0.5307584411699282,0.92386124694661,0.7273,human_review
evt-000000234,credential_theft,1,credential_theft,1,0.7123833458196814,0.5263377289704874,0.6194,human_review
evt-000000242,unauthorized_access,1,unauthorized_access,1,0.7876388035449687,0.931117118989229,0.8594,auto_response
evt-000000251,mqtt_flood,1,mqtt_flood,1,0.9875579464471531,0.432162275892383,0.7099,human_review
evt-000000258,data_tampering,0,,0,0.8816718071156627,0.0,0.0,missed_detection
evt-000000260,jamming,1,jamming,1,0.977246038165418,0.9967580322557031,0.987,auto_response
evt-000000262,malware,1,malware,1,0.6722514383345946,0.9977651515151517,0.835,human_review
evt-000000271,mqtt_flood,1,mqtt_flood,1,0.9879506428982197,0.4484988031314132,0.7182,human_review
evt-000000273,malware,1,malware,1,0.7798891665385073,0.98875,0.8843,auto_response
evt-000000283,data_tampering,1,data_tampering,1,0.7383103767527586,1.0,0.8692,auto_response
evt-000000290,ddos,1,ddos,1,0.9882923146119831,0.5271952191319287,0.7577,human_review
evt-000000292,unauthorized_access,1,unauthorized_access,1,0.6092566203838817,0.9510453244173277,0.7802,human_review
evt-000000295,malware,1,malware,1,0.7688612310193467,0.99625,0.8826,auto_response
evt-000000300,credential_theft,1,credential_theft,1,0.5570012894303038,0.866786121433966,0.7119,human_review
evt-000000305,jamming,1,jamming,1,0.9795446089632784,0.993244540192211,0.9864,auto_response
evt-000000308,jamming,1,jamming,1,0.9742391656481483,0.991950520004245,0.9831,auto_response
evt-000000316,data_tampering,1,data_tampering,1,0.7736687543566562,1.0,0.8868,auto_response
evt-000000319,botnet_c2,1,botnet_c2,1,0.9943927409659601,0.6334296041761078,0.8139,human_review
evt-000000321,replay_attack,1,replay_attack,1,0.5309308016427434,0.8516484287607392,0.6913,human_review
evt-000000332,malware,1,malware,1,0.880711504277942,0.9994444444444444,0.9401,auto_response
evt-000000333,mqtt_flood,1,mqtt_flood,1,0.9793693598363197,0.44384179377521454,0.7116,human_review
evt-000000350,unauthorized_access,1,unauthorized_access,1,0.5111137369196508,0.9332703038535454,0.7222,human_review
evt-000000351,replay_attack,1,replay_attack,1,0.855940689547083,0.8702634895120629,0.8631,auto_response
evt-000000358,botnet_c2,1,botnet_c2,1,0.9860054508945051,0.5265046187060951,0.7563,human_review
evt-000000362,jamming,1,jamming,1,0.9349088148853759,0.9818916590994894,0.9584,auto_response
evt-000000373,ddos,1,ddos,1,0.9694241789312996,0.46566467996567384,0.7175,human_review
evt-000000377,mqtt_flood,1,mqtt_flood,1,0.9881001050386149,0.42603269785224734,0.7071,human_review
evt-000000400,unauthorized_access,0,,0,0.9369967224590477,0.0,0.0,missed_detection
evt-000000402,malware,1,malware,1,0.8508000363719771,0.99995,0.9254,auto_response
evt-000000423,ddos,1,ddos,1,0.8843896831960468,0.498695263741579,0.6915,human_review
evt-000000429,data_tampering,1,data_tampering,1,0.7527726285374753,0.9863439153439153,0.8696,auto_response
evt-000000432,data_tampering,1,data_tampering,1,0.7770304295133621,0.976638888888889,0.8768,auto_response
evt-000000434,ddos,1,ddos,1,0.9671525579575311,0.4753508476050491,0.7213,human_review
evt-000000443,ddos,1,ddos,1,0.9788345653442367,0.41504190127314816,0.6969,human_review
evt-000000446,ddos,1,ddos,1,0.9120681583991663,0.4948115015343503,0.7034,human_review
evt-000000448,jamming,1,jamming,1,0.9545452990856279,0.9841461478438185,0.9693,auto_response
evt-000000450,credential_theft,1,credential_theft,1,0.5930314943523772,0.8632864858643531,0.7282,human_review
evt-000000456,ddos,1,ddos,1,0.9781730802288178,0.4641042346303097,0.7211,human_review
evt-000000459,ddos,1,ddos,1,0.9859124151680645,0.5321715529956731,0.759,human_review
evt-000000468,unauthorized_access,1,unauthorized_access,1,0.7415887889819516,0.8688110358757096,0.8052,human_review
evt-000000485,unauthorized_access,1,unauthorized_access,1,0.5429784278815533,0.9385155239160514,0.7407,human_review
evt-000000487,credential_theft,1,credential_theft,1,0.7323727207154096,0.913612526034668,0.823,human_review
evt-000000490,malware,1,malware,1,0.6225480163573814,0.999959349593496,0.8113,human_review
evt-000000493,data_tampering,1,data_tampering,1,0.7871280313437471,0.9908650793650793,0.889,auto_response
evt-000000494,unauthorized_access,1,unauthorized_access,1,0.5664552184514035,0.9592575240087217,0.7629,human_review
evt-000000497,replay_attack,1,replay_attack,1,0.6414737251497965,0.7936444777822116,0.7176,human_review
evt-000000508,ddos,1,ddos,1,0.9883044688154828,0.40475106234905206,0.6965,human_review
evt-000000510,mqtt_flood,1,mqtt_flood,1,0.985660915779756,0.4153972081293513,0.7005,human_review
evt-000000511,unauthorized_access,1,unauthorized_access,1,0.8751929200871531,0.9059651756431083,0.8906,auto_response
evt-000000515,jamming,1,jamming,1,0.9734327451534233,0.995773886293795,0.9846,auto_response
evt-000000517,unauthorized_access,0,,0,0.5608194100295892,0.0,0.0,missed_detection
evt-000000527,ddos,1,ddos,1,0.9797498917085044,0.48882206942376494,0.7343,human_review
evt-000000529,botnet_c2,1,botnet_c2,1,0.9911092860583736,0.5813867990106044,0.7862,human_review
evt-000000531,credential_theft,1,credential_theft,1,0.5304246894095619,0.5498773851120802,0.5402,escalate
evt-000000532,unauthorized_access,0,,0,0.5004121512616384,0.0,0.0,missed_detection
evt-000000534,malware,1,malware,1,0.8665212487973037,1.0,0.9333,auto_response
evt-000000537,malware,1,malware,1,0.8408046531284409,0.9943888888888889,0.9176,auto_response
evt-000000543,mqtt_flood,1,mqtt_flood,1,0.9386398627543633,0.5206178458413573,0.7296,human_review
evt-000000544,unauthorized_access,1,unauthorized_access,1,0.867194247488013,0.9108200559075101,0.889,auto_response
evt-000000557,replay_attack,0,,0,0.59744913045863,0.0,0.0,missed_detection
evt-000000566,mqtt_flood,1,mqtt_flood,1,0.8799796789809841,0.4650831619894702,0.6725,human_review
evt-000000568,malware,0,,0,0.5066713322377208,0.0,0.0,missed_detection
evt-000000572,mqtt_flood,1,mqtt_flood,1,0.9790274615683756,0.4759549552530478,0.7275,human_review
evt-000000574,malware,1,malware,1,0.583365329769567,0.9609563492063493,0.7722,human_review
evt-000000581,mqtt_flood,1,mqtt_flood,1,0.9798522637467296,0.4754852493792302,0.7277,human_review
evt-000000586,jamming,1,jamming,1,0.9786490361306428,0.991229464915543,0.9849,auto_response
evt-000000606,replay_attack,1,replay_attack,1,0.5062386262752429,0.7975460297834802,0.6519,human_review
evt-000000609,data_tampering,1,data_tampering,1,0.7845525146851772,0.9991666666666666,0.8919,auto_response
evt-000000613,botnet_c2,1,botnet_c2,1,0.979597926854662,0.5881834236000795,0.7839,human_review
evt-000000621,credential_theft,1,credential_theft,1,0.8755501746848473,0.657007127812385,0.7663,human_review
evt-000000626,unauthorized_access,0,,0,0.5161273851172288,0.0,0.0,missed_detection
evt-000000627,data_tampering,1,data_tampering,1,0.7307146203584101,1.0,0.8654,auto_response
evt-000000636,unauthorized_access,1,unauthorized_access,1,0.5236838280642894,0.9303889168850992,0.727,human_review
evt-000000641,credential_theft,1,replay_attack,0,0.5158538250474229,0.538028237477359,0.5269,escalate
evt-000000642,replay_attack,0,,0,0.5721090397610521,0.0,0.0,missed_detection
evt-000000644,replay_attack,1,replay_attack,1,0.524495126790821,0.8034708404730001,0.664,human_review
evt-000000645,replay_attack,1,replay_attack,1,0.5147621500544568,0.8164880336079208,0.6656,human_review
evt-000000646,credential_theft,1,credential_theft,1,0.5075778934936923,0.7685514912719011,0.6381,human_review
evt-000000648,replay_attack,0,,0,0.520976043315677,0.0,0.0,missed_detection
evt-000000649,ddos,1,ddos,1,0.9887447867312279,0.42364451335575937,0.7062,human_review
evt-000000652,data_tampering,1,data_tampering,1,0.7472869397937909,0.9962222222222222,0.8718,auto_response
evt-000000664,unauthorized_access,1,unauthorized_access,1,0.5008345123878167,0.9463056506828934,0.7236,human_review
evt-000000666,data_tampering,1,data_tampering,1,0.5313031789485079,0.9989583333333333,0.7651,human_review
evt-000000675,unauthorized_access,1,unauthorized_access,1,0.523179145433587,0.9469454228033136,0.7351,human_review
evt-000000680,ddos,1,ddos,1,0.9786524719358779,0.4315339136851682,0.7051,human_review
evt-000000682,replay_attack,0,,0,0.8644655748391443,0.0,0.0,missed_detection
evt-000000685,jamming,1,jamming,1,0.9050654814908126,0.9908135878112584,0.9479,auto_response
evt-000000700,malware,1,malware,1,0.8103192200109283,0.9706666666666668,0.8905,auto_response
evt-000000701,mqtt_flood,1,mqtt_flood,1,0.9829057533577326,0.4575087848167803,0.7202,human_review
evt-000000706,ddos,1,ddos,1,0.9636126416267032,0.5412766446176405,0.7524,human_review
evt-000000707,credential_theft,1,credential_theft,1,0.6808779011132877,0.9164099140862769,0.7986,human_review
evt-000000710,data_tampering,1,data_tampering,1,0.7489687730586104,0.9964619883040935,0.8727,auto_response
evt-000000714,data_tampering,1,data_tampering,1,0.7654421799029087,1.0,0.8827,auto_response
evt-000000717,unauthorized_access,1,unauthorized_access,1,0.5844228029168977,0.9409286451943693,0.7627,human_review
evt-000000719,unauthorized_access,1,unauthorized_access,1,0.5380116734871191,0.9236964165020402,0.7309,human_review
evt-000000720,data_tampering,1,data_tampering,1,0.7425625705326884,1.0,0.8713,auto_response
evt-000000722,ddos,1,ddos,1,0.9883907856294182,0.5019894227972319,0.7452,human_review
evt-000000724,unauthorized_access,0,,0,0.9338919033659177,0.0,0.0,missed_detection
